2026-06-28 21:40:03 eval-1        | === RUN   TestSemanticCacheEval
2026-06-28 21:40:03 eval-1        |     eval_test.go:150: metrics server: http://localhost:2112/metrics
2026-06-28 21:40:03 eval-1        |     eval_test.go:164: loaded 1000 test cases
2026-06-28 21:40:03 eval-1        |     eval_test.go:197: namespace: eval-fd17073a
2026-06-28 21:40:03 eval-1        |     eval_test.go:227: phase 1: storing seed entries …
2026-06-28 21:41:40 eval-1        |     eval_test.go:245: phase 1: done
2026-06-28 21:41:40 eval-1        |     eval_test.go:248: phase 2: running queries …
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0001] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0002] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0003] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0004] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0005] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0006] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0007] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0008] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0009] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0010] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0011] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0012] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0013] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0014] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0015] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0016] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0017] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0018] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0019] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0020] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0021] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0022] direct_hit             got=direct_hit    latency=1ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0023] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0024] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0025] direct_hit             got=direct_hit    latency=1ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0026] direct_hit             got=direct_hit    latency=1ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0027] direct_hit             got=direct_hit    latency=1ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0028] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0029] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0030] direct_hit             got=direct_hit    latency=1ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0031] direct_hit             got=direct_hit    latency=1ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0032] direct_hit             got=direct_hit    latency=1ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0033] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0034] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0035] direct_hit             got=direct_hit    latency=0ms
